reach;urbanaggl;year;q90_fecalcoli;ech_fecalcoli;num_stations;etat_m;urbanaggl_normalise;latitude;longitude
city;Agartala;1980;5740;9;7;Poor;agartala;23.92488;91.15152
city;Agartala;1981;10000;11;7;Poor;agartala;23.92488;91.15152
city;Agartala;1982;2560;10;7;Poor;agartala;23.92488;91.15152
city;Agartala;1983;3800;11;7;Poor;agartala;23.92488;91.15152
city;Agartala;1984;1140;10;7;Good;agartala;23.92488;91.15152
city;Agartala;1985;700;6;7;Good;agartala;23.92488;91.15152
city;Agartala;1987;NA;0;7;NA;agartala;23.92488;91.15152
city;Agartala;1988;2840;2;7;Poor;agartala;23.92488;91.15152
city;Agartala;1994;NA;0;7;NA;agartala;23.92488;91.15152
city;Agartala;1995;NA;0;7;NA;agartala;23.92488;91.15152
city;Agartala;2003;NA;0;7;NA;agartala;23.92488;91.15152
city;Agartala;2018;220;48;7;Good;agartala;23.92488;91.15152
city;Agartala;2019;280;36;7;Good;agartala;23.92488;91.15152
city;Agartala;2020;966;40;7;Good;agartala;23.92488;91.15152
city;Agartala;2021;672;15;7;Good;agartala;23.92488;91.15152
city;Agra;1980;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1981;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1982;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1983;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1984;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1985;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1986;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1987;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1988;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1989;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1990;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1991;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1992;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1993;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1994;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1995;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1996;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1997;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1998;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;1999;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2000;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2001;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2002;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2003;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2004;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2005;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2006;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2007;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2008;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2009;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2010;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2011;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2012;2060;7;2;Poor;agra;27.18413;78.00319
city;Agra;2013;2260;5;2;Poor;agra;27.18413;78.00319
city;Agra;2014;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2015;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2016;NA;0;2;NA;agra;27.18413;78.00319
city;Agra;2017;8420;7;2;Poor;agra;27.18413;78.00319
city;Agra;2018;155000;46;2;Poor;agra;27.18413;78.00319
city;Agra;2019;246000;47;2;Poor;agra;27.18413;78.00319
city;Agra;2020;540000;42;2;Poor;agra;27.18413;78.00319
city;Agra;2021;540000;47;2;Poor;agra;27.18413;78.00319
city;Ahmadabad;1980;8180000;4;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1981;14380000;3;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1982;24000000;9;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1983;24000000;9;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1984;24000000;10;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1985;99999;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1986;3500000;11;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1987;4420000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1988;11000000;11;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1989;24000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1990;24000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1991;24000000;11;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1992;11000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1993;12300000;10;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1995;24000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1996;24000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1997;457000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1998;11000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;1999;22700000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2000;11000000;12;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2001;5970;8;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2002;1490000;8;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2003;1100000;11;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2004;93000;11;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2005;162000;9;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2006;1087500;6;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2007;13040;9;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2008;15000;10;5;Poor;ahmadabad;23.02788;72.57889
city;Ahmadabad;2018;430;44;5;Good;ahmadabad;23.02788;72.57889
city;Ahmadabad;2019;360;40;5;Good;ahmadabad;23.02788;72.57889
city;Ahmadabad;2020;1400;41;5;Good;ahmadabad;23.02788;72.57889
